publication_id,source_type,reference_label,title,doi,pmid,patent_number,related_patent_numbers,year,access_note,record_count
PUB000038,journal_article,Yue2014,Transcriptional regulation by small RNAs at sequences downstream from 3 gene termini,10.1038/nchembio.400,20581822,,,2014,,55
PUB000039,journal_article,Yang2008,Up-regulation of p21WAF1/Cip1 by saRNA induces G1-phase arrest and apoptosis in T24 human bladder cancer cells,10.1016/j.canlet.2008.02.014,18358601,,,2008,,4
PUB000040,journal_article,Wang2011,Prognostic value and function of KLF4 in prostate cancer: RNAa and vector-mediated overexpression identify KLF4 as an inhibitor of tumor cell growth and migration,10.1158/0008-5472.CAN-10-2414,21159640,,,2011,,11
PUB000041,journal_article,Voutila2012,Gene Expression Profile Changes After Short-activating RNA-mediated Induction of Endogenous Pluripotency Factors in Human Mesenchymal Stem Cells,10.1038/mtna.2012.20,23344177,,,2012,,37
PUB000042,journal_article,Sakurai2014,Upregulation of RECK gene expression by small double-stranded RNA targeting the promoter region,10.1038/cgt.2014.12,,,,2014,,46
PUB000043,journal_article,Yang2014,Induction of TRPV5 expression by small activating RNA targeting gene promoter as a novel approach to regulate cellular calcium transportation,10.1016/j.lfs.2014.08.007,25139832,,,2014,,26
PUB000044,journal_article,Yang2015,Upregulation of PAWR by small activating RNAs induces cell apoptosis in human prostate cancer cells,10.3892/or.2016.4582,26797252,,,2015,,10
PUB000045,journal_article,Lopez2016,RNA Activation of the Vascular Endothelial Growth Factor Gene (VEGF) Promoter by Double-Stranded RNA and Hypoxia: Role of Noncoding VEGF Promoter Transcripts,10.1128/MCB.01096-15,26976645,,,2016,,7
PUB000046,journal_article,Xie2017,"Up-regulation of VEZT by small activating RNA inhibits the proliferation, invasion and migration of gastric cancer cells",10.1016/j.bbrc.2016.11.071,27856244,,,2017,,17
PUB000047,journal_article,Xia2016,Small activating RNA upregulates NIS expression: promising potential for hepatocellular carcinoma endoradiotherapy,10.1038/cgt.2016.36,27608773,,,2016,,44
PUB000048,journal_article,Watts2010,Effect of chemical modifications on modulation of gene expression by duplex antigene RNAs that are complementary to non-coding transcripts at gene promoters,10.1093/nar/gkq258,20403811,,,2010,,348
PUB000049,journal_article,Wang2014,saRNA guided iNOS up-regulation improves erectile function of diabetic rats,10.1016/j.juro.2013.03.043,23523927,,,2014,,6
PUB000050,journal_article,Schwartz2008,Antisense transcripts are targets for activating small RNAs,10.1038/nsmb.1444,18604220,,,2008,,16
PUB000051,journal_article,Mao2008,Up-regulation of E-cadherin by small activating RNA inhibits cell invasion and migration in 5637 human bladder cancer cells,10.1016/j.bbrc.2008.08.059,18725195,,,2008,,4
PUB000052,journal_article,Yang2016,Promoter-targeted double-stranded small RNAs activate PAWR gene expression in human cancer cells,10.1016/j.biocel.2013.03.022,23583662,,,2016,,30
PUB000053,journal_article,Pan2013,Inactivation of tumor suppressor gene HIC1 in gastric cancer is reversed via small activating RNAs,10.1016/j.gene.2013.05.034,23769968,,,2013,,14
PUB000054,journal_article,Guo2016,Upregulation of VEGF by small activating RNA and its implications in preeclampsia,10.1016/j.placenta.2016.08.088,27697220,,,2016,,4
PUB000055,journal_article,Wu2016,Transcriptional regulation of E-cadherin by small activating RNA: A new double-stranded RNA,10.3892/ijo.2016.3643,27498620,,,2016,,76
